Номер узла;Номер кластера;transactionAmount|Сумма;transactionDateTime|Количество;transactionAmount|Среднее;merchantCategoryCode|Кол-во уникальных;transactionDateTime|Минимум;transactionDateTime|Максимум;merchantCategoryCode|Мода;merchantCategoryCode|Мода|Значение;merchantCategoryCode|Мода|Координата;creditLimit|Среднее;currentBalance|Среднее
0;0;8567,95810450408;66;111,26186444593517;4;01.02.2016 20:12:53;19.12.2016 21:10:30;fastfood;airline;2,1503053157475934E-17;49528,70175116756;2506,2859771338512
0;0;?;?;?;?;?;?;?;auto;2,3064478933170236E-38;?;?
0;0;?;?;?;?;?;?;?;cable/phone;1,3277897972867595E-58;?;?
0;0;?;?;?;?;?;?;?;entertainment;1,734046998793429E-57;?;?
0;0;?;?;?;?;?;?;?;fastfood;0,7794485395969275;?;?
0;0;?;?;?;?;?;?;?;food;1,4935211961154554E-46;?;?
0;0;?;?;?;?;?;?;?;food_delivery;4,673141114490267E-58;?;?
0;0;?;?;?;?;?;?;?;fuel;7,616397382869322E-58;?;?
0;0;?;?;?;?;?;?;?;furniture;2,2886208129618638E-58;?;?
0;0;?;?;?;?;?;?;?;gym;1,2416147971427227E-23;?;?
0;0;?;?;?;?;?;?;?;health;6,835877649225639E-49;?;?
0;0;?;?;?;?;?;?;?;hotels;1,3561515017781766E-46;?;?
0;0;?;?;?;?;?;?;?;mobileapps;2,18384093233962E-17;?;?
0;0;?;?;?;?;?;?;?;online_gifts;1,1050602043391443E-57;?;?
0;0;?;?;?;?;?;?;?;online_retail;-1,721183473780771E-57;?;?
0;0;?;?;?;?;?;?;?;online_subscriptions;0,22055146040308948;?;?
0;0;?;?;?;?;?;?;?;personal care;7,1727073941501314E-37;?;?
0;0;?;?;?;?;?;?;?;rideshare;1,5281243603973903E-57;?;?
0;0;?;?;?;?;?;?;?;subscriptions;2,3541487621363236E-38;?;?
1;1;851,1927319739328;14;57,480284728318004;3;28.03.2016 07:50:24;18.12.2016 01:20:33;online_subscriptions;airline;4,560532211240066E-18;49987,108638898804;273,81799955907803
1;1;?;?;?;?;?;?;?;auto;5,534744366745335E-47;?;?
1;1;?;?;?;?;?;?;?;cable/phone;1,0321139659616133E-61;?;?
1;1;?;?;?;?;?;?;?;entertainment;1,5264651728793774E-60;?;?
1;1;?;?;?;?;?;?;?;fastfood;0,000032590366782980125;?;?
1;1;?;?;?;?;?;?;?;food;1,4171601689949213E-46;?;?
1;1;?;?;?;?;?;?;?;food_delivery;3,656045601335014E-61;?;?
1;1;?;?;?;?;?;?;?;fuel;9,372490752828458E-61;?;?
1;1;?;?;?;?;?;?;?;furniture;1,7697278627871657E-61;?;?
1;1;?;?;?;?;?;?;?;gym;3,8596859578875254E-24;?;?
1;1;?;?;?;?;?;?;?;health;8,142664996597892E-52;?;?
1;1;?;?;?;?;?;?;?;hotels;7,155946113444655E-56;?;?
1;1;?;?;?;?;?;?;?;mobileapps;4,7267389319886366E-18;?;?
1;1;?;?;?;?;?;?;?;online_gifts;8,624403099752495E-61;?;?
1;1;?;?;?;?;?;?;?;online_retail;-4,07123689542049E-60;?;?
1;1;?;?;?;?;?;?;?;online_subscriptions;0,9999674096332171;?;?
1;1;?;?;?;?;?;?;?;personal care;6,916469203279604E-39;?;?
1;1;?;?;?;?;?;?;?;rideshare;1,2062191281150178E-60;?;?
1;1;?;?;?;?;?;?;?;subscriptions;1,3348556481146764E-38;?;?
2;2;66,23522722955836;3;18,26391735183005;1;29.10.2016 01:34:46;17.12.2016 23:58:25;online_subscriptions;airline;5,885366782245084E-25;9181,93735702734;25,579721470971684
2;2;?;?;?;?;?;?;?;auto;6,747924729591525E-62;?;?
2;2;?;?;?;?;?;?;?;cable/phone;4,763677221621756E-110;?;?
2;2;?;?;?;?;?;?;?;entertainment;1,082079673132913E-114;?;?
2;2;?;?;?;?;?;?;?;fastfood;5,429831944120639E-11;?;?
2;2;?;?;?;?;?;?;?;food;7,585929279543637E-47;?;?
2;2;?;?;?;?;?;?;?;food_delivery;7,676375429533487E-73;?;?
2;2;?;?;?;?;?;?;?;fuel;3,2649186238577696E-96;?;?
2;2;?;?;?;?;?;?;?;furniture;8,309657089831717E-97;?;?
2;2;?;?;?;?;?;?;?;gym;6,474149265027262E-25;?;?
2;2;?;?;?;?;?;?;?;health;6,017326108196118E-62;?;?
2;2;?;?;?;?;?;?;?;hotels;9,992032628480618E-73;?;?
2;2;?;?;?;?;?;?;?;mobileapps;2,24357989129271E-17;?;?
2;2;?;?;?;?;?;?;?;online_gifts;1,1426300487456172E-72;?;?
