Номер узла;Номер кластера;airline;auto;entertainment;fastfood;food;furniture;health;hotels;online_gifts;online_retail;personal care;rideshare;subscriptions;transactionAmount|Сумма;transactionAmount|Среднее;merchantCategoryCode|Кол-во уникальных;creditLimit|Среднее;currentBalance|Среднее;transactionDateTime|Количество
0;0;1,6411508939545918E-9;0,005118639687023811;0,0001305825738144173;3,275725314205667E-8;0,9846470079169536;2,8171664598316964E-15;4,5249323616385883E-10;5,5399589479738646E-9;9,624986814016439E-9;0,008130653594413865;3,7377731741250904E-9;0,0010089604360001283;3,325228869112437E-9;5034,362319030168;167,65310028701333;1;4598,8965742289665;718,6756451368286;32
1;1;0,0008871337348237625;0,0001363623164919511;0,004857375169459361;0,019786899769760252;0,9342265124134468;1,0308007734727332E-10;0,0008892511902928655;0,0026134726725716485;0,0023065122966975386;0,009175605080614132;0,004043725818455748;2,6504606151487794E-7;0,006925391722752745;19598,787446062266;140,7190381917478;3;4982,569059940996;1661,6662673583323;134
2;2;4,7562454359248416E-8;0,0012617017082420124;0,00806101493467904;0,007838097213144176;0,8590749492393216;0,002820754147998225;0,00004984078486954637;0,009952362636710338;0,0040781145707168755;0,055550977717656505;0,003812308138836726;0,021554046241282702;0,00262872125826369;21114,20205995286;141,14143921076806;5;6907,45444032357;2433,6193814579024;148
3;3;0,0025900799207799166;0,002223217312664865;0,008787976049937805;0,01316469752807679;0,8913271189162996;1,210929304445714E-7;0,005830800727612777;0,004484414123059193;0,0006666644827051121;0,03601751278822916;4,2034476291091075E-7;0,007172322344488483;0,012355439222389642;37169,96914839913;138,338712016763;5;17364,291038703388;6576,023136221334;264
4;4;0,03002425247522511;4,197041015672559E-6;0,028020917158311384;0,029763456369368786;0,6713861267492608;0,00005181788851629004;0,02083984099960626;0,013748201532148941;0,03542777584078337;0,05789392957374897;0,02826362798466427;0,029170516934159115;0,015805972587654232;11231,3419477952;129,87389245997926;4;49999,98551522985;2852,1332638641184;83
5;5;0,013637038211640442;1,8555313628944215E-8;0,7272745852864179;0,03146317814720975;0,02301091158959072;2,048225846284559E-8;0,02286770643445502;0,022847480704284755;0,017772264006668006;0,0557239124443703;0,00517076064802883;0,03162745422651531;0,0025836068169033223;26133,374642307313;127,0802821464946;5;49999,97895587;5667,505657696305;183
6;6;9,384486514736445E-6;0,017075584982631266;0,013526617120334284;0,04669110859798972;0,011460747462686122;2,7917657256543933E-6;0,0043569146848251765;0,6797637358222645;0,020808276977792858;0,11460272160787481;0,0028311017660697176;0,0023932843533559867;0,00017813685662466036;100810,22691030896;131,1499297465123;4;49982,05200680401;4160,160323630397;683
7;7;0,0011812710224773579;0,0025588290901435687;0,0026469105343166982;0,008830505167878838;0,005735186778828059;0,002800731625506164;0,00009542873025428819;0,9363732567321542;0,0017569811789993708;0,004070033000773429;0,014006867578006054;2,8609885120121824E-9;1,7656842682784988E-9;3696,891980711729;142,89665935997138;2;9274,469766982631;621,0162401681181;27
8;8;0,004275755896350479;0,012968626272008297;0,0143449809283306;0,0496397367218519;0,009911426352684254;0,002386876367515065;0,00733729127003041;0,7788698829397517;0,009021912573877845;0,036129999264984405;0,00005531751089561819;0,012092846605041868;0,011180160843477553;25432,10592477718;130,64001067953944;4;6559,933901268675;2091,1206564711606;175
9;9;0,0005429464912990184;0,0019604674672175637;0,03907925241714971;0,0394340095708235;0,01789882404755546;0,02568339230764688;0,011169899316271421;0,6270127847523529;0,011260260556279744;0,10152103932166276;0,0399911747882032;0,010542210473158906;0,02449365585784544;30383,908436469883;132,03857009810397;7;10252,195320754994;2165,2552760616722;215
10;10;0,0008616421634354541;0,46657195162125764;0,10212322312656127;0,037380651297480014;0,0061483945917143205;0,00006013941709455246;0,010630713450559139;0,10661096257801193;0,022210417085310748;0,09204009123221739;0,020530884624937667;0,05254390537660868;0,05201878320946788;46298,228284028846;139,43747335684958;8;5211,624162509523;1479,332840143454;312
11;11;0,020515934600849807;0,5390970426858666;0,03757047306440856;0,14123442428521102;0,036418892119216506;6,620128672912128E-7;0,030423592362964907;0,00013689767968691453;0,03146396213505257;0,0564728024129138;0,004002162159848551;0,08319470898597701;0,00006443659327028655;74212,39041208418;136,58982192805504;7;16881,359889835578;8541,544059093874;525
12;12;0,021946971246359675;0,0025537533885937403;0,007710257778986362;0,4707634486152919;0,09351533093136041;0,0016534127557059214;0,02962009680276786;0,008206384099872382;0,028576237874827902;0,050850210469343786;0,0010538468979116372;0,06945313260001779;0,03323639856316261;19417,103561654447;103,88809198314381;8;6122,2025283697485;1005,5293440094762;151
13;13;0,00476929388073258;0,018568901531535287;0,028021118993791293;0,7282323169176242;0,02801851899555988;0,0012355048953984246;0,01917210445868727;0,006731723508360971;0,02220655724855146;0,04664014436271591;0,014553321865062904;0,04033942730230752;0,005036930314659616;134998,47526193544;135,68984043090902;7;7165,2019799187565;2806,3984052871897;926
14;14;0,0004354117299439394;0,0031854408296294917;0,01561225612091345;0,8993243350915424;0,017766694461611183;0,0036494402789378033;5,318015470547572E-10;0,0035572498669519653;0,00609456855344686;0,012960114699797751;0,004060138602796033;0,006305983871167947;0,0098429157304126;41476,96174595643;134,61746015448063;6;4624,230087599002;1515,6931626340063;292
15;15;0,00416363314208432;0,005650490835357824;0,005163887780039932;0,8434890580969592;0,00017749130117136682;0,0005011865395066091;0,006698296236779995;0,003998685015217224;0,008738081899438659;0,04836868425988352;0,004860653998700149;0,00998444214203433;0,0006710594063921306;7544,083801220675;109,00095127024399;4;2453,0987821246827;554,7567423250886;63
16;16;0,0005765548309626447;0,004017605571928759;0,016826022982084406;0,9322655559844903;0,0019843217061968565;0,0016814994131390427;0,0004335069378601059;0,00919130318361522;1,3196770012463062E-9;0,011523487101257467;0,002800132064356009;0,006438029903441361;0,002310448494386663;19025,88901252314;150,89350148442662;3;8332,947345294138;3166,521118313261;130
17;17;4,132163012610887E-7;8,697274998439065E-7;0,05578777261299598;0,9219273697527097;6,220134493511853E-7;2,548158303919494E-7;3,891504133715228E-7;0,0007588141192108465;0,006527600402265145;0,01495244240497274;6,130557559857482E-7;9,284396515554723E-7;3,8873922886355907E-7;2327,3002358996973;235,04586373992151;2;4181,387479812394;713,6923352037493;10
18;18;5,6162177208768625E-8;1,5057542691418088E-6;2,2342780129838732E-8;0,0013014253442132947;0,9371804902839851;4,1446475565982855E-13;8,909629623554309E-8;8,062209640399848E-8;0,010101100691873926;0,021790207091501347;4,4199668580549644E-8;0,0022615888369461987;6,499319537459752E-7;5876,765960005924;115,31890219299275;2;18052,830905898456;829,4542849024274;46
19;19;5,6323744466076345E-8;1,281577947874299E-7;1,8586620044661976E-7;0,0005874217905564627;0,9265083706290577;1,3099716571119772E-8;1,5749558547179825E-7;1,9639470879335766E-6;0,00029095667334454514;0,0003830153948061048;4,108254289930907E-8;4,5222577534003687E-7;5,2081861555486524E-8;1041,244615369315;70,07421879079352;2;5190,960238623468;298,94129033917477;13
20;20;0,002049484467922679;1,3354007072694112E-8;0,009793797161377262;0,03388934981539885;0,792894034799582;0,0001366014438934503;0,00740543922609813;3,7479174013269184E-7;0,033672235793370635;0,04700921192337504;0,0005174481514423154;0,0032595736006994906;2,6636436937378834E-9;5481,980539957121;111,93981387879562;3;2397,753371279289;548,6801394860729;46
21;21;0,007622327781372006;0,0014366287705149944;0,008828187370130908;0,030613273329668813;0,7983962250435606;0,005550561130954149;0,0013975066485596738;0,0209248061471831;0,014801010998962864;0,026871389958070556;0,012237304132350663;0,024933312699973904;0,0005894060299289157;75571,28574540172;130,69749591575794;7;4229,153208054468;1786,8588399856017;527
22;22;0,0025071229149000542;0,0019400070763253975;0,036552873154935724;0,027730347957414612;0,7119684690732706;5,938727047551496E-7;1,3994605399020624E-6;0,039596447805413194;0,006571078415284627;0,06668133103453266;0,00020624939043902167;0,040575215330214076;6,880273456332057E-6;28209,683659842656;122,54365868807926;7;16387,808197650706;3835,172574761342;212
23;23;0,00035628472208752205;0,0017880221519634301;0,1419763031366683;0,11397496311913295;0,3835145184273317;0,03790306069492651;0,0004570954393969455;0,0009344519761342907;0,013675215016530273;0,1626000925308776;0,013908808113431297;0,03716907955780185;0,05441599086246973;22448,43654240092;127,39244848135543;6;20256,014422447428;6307,443412130659;160
24;24;0,0005968819460373463;0,0005616593525907496;0,3008513772374944;0,06723007380735442;0,00480647676916052;0,00037449350264781263;0,003279112611361879;0,45823017588615933;0,0015275495780443884;0,09286678929518503;0,0026163442613965455;0,03234622891790948;0,02223961394835967;13024,567614265317;140,41360438568753;4;16003,52735409899;4300,893649200891;89
25;25;3,3009094376177897E-6;2,304337196909102E-6;0,00004816768281795861;0,007482356098012352;0,0216985141818382;1,6677746737730597E-6;2,536338308876348E-6;0,6145178197967763;3,4037319638133843E-6;0,2997916150137583;1,3373485904287716E-6;3,1925191391338943E-6;9,463678349558368E-6;6311,898207126542;117,96280425350976;3;6044,242382635404;836,0576552847186;49
26;26;0,02580872773851367;0,00005393280955040782;0,004177211149089479;0,010468464319823092;0,21194742255316212;0,011423635675145585;1,2003894691185209E-6;0,5347449751148537;0,007433920193382785;0,01882455233653393;0,000013912459474814228;0,08082710177500148;0,0027229025196588872;7890,727006790808;131,91037233492045;4;7695,386453569803;979,1779075709508;58
27;27;8,627250502732815E-7;0,005783268056444632;0,012953612125595945;0,4450661682960339;0,035743520994529904;3,5459505636780614E-7;5,967299515325711E-7;0,4247462389925246;0,0016276316170464973;0,04230874874631807;5,9641587296133E-7;0,02705387293478844;0,00021959047890114327;25625,636480489466;151,50432877570944;4;8711,153533991483;2171,4446615802344;180
28;28;0,0012911928479124436;0,5377606200861985;0,005863119539008815;0,03091895918939393;0,013199088334720449;0,0008864596550141886;0,00125850242041101;0,26609656980284524;0,02061914113631517;0,06543003233948069;0,001943644689289027;0,003146158768980507;0,004758519782127666;19496,387065785057;123,99420393025933;6;8718,715904391049;2499,358962570842;140
29;29;3,950095618391526E-8;0,7922820756985951;0,0246138639434249;0,0237866835897809;0,02798136819206003;1,6286458778776336E-11;4,10488115855816E-6;0,001699576461522393;0,01083924477557435;0,03878194231467507;0,008346030009025776;0,026699954657085752;0,02320251147023646;44847,01935263743;127,96732357057557;6;6825,061748672803;1450,9419704859595;314
30;30;0,0004809543468015945;0,3451780738773803;0,0022273724159054278;0,31957337750377357;0,19291760538471725;0,006205273553410173;0,015255067368872605;0,034996565843103684;0,030149365083256878;0,01922674701907546;0,008992996822606363;0,0014686445627157298;0,011973759847889055;134778,43111025827;145,0971529142009;7;2081,018240050403;970,9892862265708;926
31;31;0,007100412046039468;0,0000566769428256179;0,045470969033406736;0,5292979504752132;0,0517461786247403;0,00820543319294245;0,05681869347946277;0,0037719323646270724;0,01390170190625346;0,11719552900190755;0,0004910218951438611;0,015508755664767645;0,008042610298459976;11997,617631611216;117,15550039464604;6;10090,11976604779;2728,9342861440173;97
32;32;1,3862745752003552E-6;0,007177292935732125;0,014499753017840766;0,6770793362542729;0,11141825200483707;0,012599356784343329;0,004100391014744772;0,02330854063707877;0,027026968911544248;0,02457310231699427;0,007665461418301356;0,005400477420518841;0,025061740957273575;18567,228560572712;121,41395213170563;5;3582,3834992385164;1046,5443650557154;138
33;33;0,020041953897449276;2,3756215584016575E-8;0,022296116578392266;0,7798085406838051;0,007873895756060288;0,0007057476273533665;0,0011844761199965405;0,0021229274687359387;0,04228956915357963;0,03332240825334225;0,021262782213621382;0,010760610185334309;0,005277916619068723;13834,785937175235;131,56660537024874;4;6311,198711488275;2245,8437357691328;101
34;34;0,003190756127503683;0,019549922614048424;0,008208550799021322;0,8734025797164908;0,005313916093544596;8,030050506035908E-10;0,007647907499894256;0,0020255854657241605;0,0010447854446323384;0,03243474003577527;0,0021857391970285986;0,00797033924921036;0,00966552650977717;15981,911027719161;147,773958777536;3;2640,87952036899;508,0193597118625;105
35;35;2,0995429732607332E-7;2,540308455518475E-10;0,0007058606216491396;0,9880192677723559;1,3042004806500807E-10;0,00029039774476684544;1,4238784144736936E-10;2,3376048146535397E-10;0,0022499368155840475;0,0027664389138523575;1,089302400628371E-10;2,418026556401702E-10;1,8946756191287337E-10;7599,0505178301755;133,5980688951665;2;3656,6940690041756;602,1223632927723;53
